teamId,sweaterNumber,positionCode,headshot,lastName.cs,lastName.fi,lastName.sk,firstName.cs,firstName.de,firstName.es,firstName.fi,firstName.sk,firstName.sv,fullName,gameId,gameDate,is_home
19,6,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8474618.png,,,,,,,,,,Marco Scandella,2023020164,2023-11-04,1
19,10,C,https://assets.nhle.com/mugs/nhl/20232024/STL/8475170.png,,,,,,,,,,Brayden Schenn,2023020164,2023-11-04,1
19,4,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8475181.png,,,,,,,,,,Nick Leddy,2023020164,2023-11-04,1
19,72,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8475753.png,,,,,,,,,,Justin Faulk,2023020164,2023-11-04,1
19,12,R,https://assets.nhle.com/mugs/nhl/20232024/STL/8475763.png,,,,,,,,,,Kevin Hayes,2023020164,2023-11-04,1
8,11,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8475848.png,,,,,,,,,,Brendan Gallagher,2023020164,2023-11-04,0
19,50,G,https://assets.nhle.com/mugs/nhl/20232024/STL/8476412.png,,,,,,,,,,Jordan Binnington,2023020164,2023-11-04,1
19,20,L,https://assets.nhle.com/mugs/nhl/20232024/STL/8476438.png,,,,,,,,,,Brandon Saad,2023020164,2023-11-04,1
8,40,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476469.png,,,,,,,,,,Joel Armia,2023020164,2023-11-04,0
19,47,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8476792.png,,,,,,,,,,Torey Krug,2023020164,2023-11-04,1
8,70,L,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476871.png,,,,,,,,,,Tanner Pearson,2023020164,2023-11-04,0
8,8,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476875.png,,,,,,,,,,Mike Matheson,2023020164,2023-11-04,0
19,55,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8476892.png,,,,,,,,,,Colton Parayko,2023020164,2023-11-04,1
19,70,C,https://assets.nhle.com/mugs/nhl/20232024/STL/8476897.png,,,,,,,,,,Oskar Sundqvist,2023020164,2023-11-04,1
8,17,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476981.png,,,,,,,,,,Josh Anderson,2023020164,2023-11-04,0
19,89,L,https://assets.nhle.com/mugs/nhl/20232024/STL/8477402.png,Bučněvič,Butshnevitsh,Bučněvič,,,,,,,Pavel Buchnevich,2023020164,2023-11-04,1
8,91,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8477497.png,,,,,,,,,,Sean Monahan,2023020164,2023-11-04,0
19,15,L,https://assets.nhle.com/mugs/nhl/20232024/STL/8477944.png,Vrána,,Vrána,,,,,,,Jakub Vrana,2023020164,2023-11-04,1
19,42,R,https://assets.nhle.com/mugs/nhl/20232024/STL/8477953.png,,,,,,,,,,Kasperi Kapanen,2023020164,2023-11-04,1
8,28,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8477989.png,,,,,,,,,,Christian Dvorak,2023020164,2023-11-04,0
19,79,L,https://assets.nhle.com/mugs/nhl/20232024/STL/8478104.png,,,,,,,,,,Sammy Blais,2023020164,2023-11-04,1
8,71,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8478133.png,,,,,,,,,,Jake Evans,2023020164,2023-11-04,0
8,35,G,https://assets.nhle.com/mugs/nhl/20232024/MTL/8478470.png,,,,,,,,,,Sam Montembeault,2023020164,2023-11-04,0
19,25,C,https://assets.nhle.com/mugs/nhl/20232024/STL/8479385.png,,,,,,,,,,Jordan Kyrou,2023020164,2023-11-04,1
8,55,L,https://assets.nhle.com/mugs/nhl/20232024/MTL/8479543.png,,,,,,,,,,Michael Pezzetta,2023020164,2023-11-04,0
8,14,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8480018.png,,,,,,,,,,Nick Suzuki,2023020164,2023-11-04,0
19,18,C,https://assets.nhle.com/mugs/nhl/20232024/STL/8480023.png,,,,,,,,,,Robert Thomas,2023020164,2023-11-04,1
8,30,G,https://assets.nhle.com/mugs/nhl/20232024/MTL/8480051.png,,,,,,,,,,Cayden Primeau,2023020164,2023-11-04,0
8,26,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8480192.png,,,,,,,,,,Johnathan Kovacevic,2023020164,2023-11-04,0
19,13,R,https://assets.nhle.com/mugs/nhl/20232024/STL/8480281.png,Toropčenko,,Toropčenko,Alexej,Alexei,Alexei,Alexei,Alexej,Alexei,Alexey Toropchenko,2023020164,2023-11-04,1
8,54,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8480887.png,,,,,,,,,,Jordan Harris,2023020164,2023-11-04,0
19,30,G,https://assets.nhle.com/mugs/nhl/20232024/STL/8480981.png,,,,,,,,,,Joel Hofer,2023020164,2023-11-04,1
19,75,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8481006.png,,,,,,,,,,Tyler Tucker,2023020164,2023-11-04,1
8,22,R,https://assets.nhle.com/mugs/nhl/20232024/MTL/8481540.png,,,,,,,,,,Cole Caufield,2023020164,2023-11-04,0
8,15,C,https://assets.nhle.com/mugs/nhl/20232024/MTL/8481618.png,,,,,,,,,,Alex Newhook,2023020164,2023-11-04,0
8,21,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482087.png,,,,,,,,,,Kaiden Guhle,2023020164,2023-11-04,0
19,63,L,https://assets.nhle.com/mugs/nhl/20232024/STL/8482089.png,,,,,,,,,,Jake Neighbours,2023020164,2023-11-04,1
8,52,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482111.png,,,,,,,,,,Justin Barron,2023020164,2023-11-04,0
8,72,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482964.png,,,,,,,,,,Arber Xhekaj,2023020164,2023-11-04,0
8,20,L,https://assets.nhle.com/mugs/nhl/20232024/MTL/8483515.png,Slafkovský,,Slafkovský,,,,,,,Juraj Slafkovsky,2023020164,2023-11-04,0
