period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,periodDescriptor_number,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,secondaryReason,typeCode,descKey,duration,awayScore,homeScore,gameId,seasonId,gameDate,gameType,venue,elapsedTime,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName,normalized_xCoord,normalized_yCoord
1,00:00,20:00,right,period-start,10,1,REG,,,,,,0.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,0,,,,,,5,5,5v5,8476875.0,8480018.0,8481618.0,8476981.0,8482111.0,,8475690.0,8476456.0,8474150.0,8476399.0,8478396.0,,Mike Matheson,Nick Suzuki,Alex Newhook,Josh Anderson,Justin Barron,,Chris Tanev,Jonathan Huberdeau,Mikael Backlund,Blake Coleman,Noah Hanifin,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,,
1,00:00,20:00,right,faceoff,11,1,REG,0.0,0.0,N,,,0.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,0,MTL,1.0,8480018.0,8474150.0,,5,5,5v5,8476875.0,8480018.0,8481618.0,8476981.0,8482111.0,,8475690.0,8476456.0,8474150.0,8476399.0,8478396.0,,Mike Matheson,Nick Suzuki,Alex Newhook,Josh Anderson,Justin Barron,,Chris Tanev,Jonathan Huberdeau,Mikael Backlund,Blake Coleman,Noah Hanifin,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,-0.0,0.0
1,00:18,19:42,right,giveaway,12,1,REG,-34.0,22.0,D,,,0.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,18,CGY,0.0,8478396.0,,,5,5,5v5,8476875.0,8480018.0,8481618.0,8476981.0,8482111.0,,8475690.0,8476456.0,8474150.0,8476399.0,8478396.0,,Mike Matheson,Nick Suzuki,Alex Newhook,Josh Anderson,Justin Barron,,Chris Tanev,Jonathan Huberdeau,Mikael Backlund,Blake Coleman,Noah Hanifin,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,-34.0,22.0
1,00:42,19:18,right,hit,20,1,REG,88.0,-33.0,D,,,0.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,42,MTL,1.0,8476875.0,8477496.0,,5,5,5v5,8476875.0,8481618.0,8483515.0,8477989.0,8482111.0,,8478397.0,8477496.0,8477346.0,8480008.0,8478233.0,,Mike Matheson,Alex Newhook,Juraj Slafkovsky,Christian Dvorak,Justin Barron,,Rasmus Andersson,Elias Lindholm,MacKenzie Weegar,Adam Ruzicka,Andrew Mangiapane,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,-88.0,33.0
1,00:47,19:13,right,giveaway,21,1,REG,52.0,-38.0,D,,,0.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,47,MTL,1.0,8481618.0,,,5,5,5v5,8476875.0,8481618.0,8483515.0,8477989.0,8482111.0,,8478397.0,8477496.0,8477346.0,8480008.0,8478233.0,,Mike Matheson,Alex Newhook,Juraj Slafkovsky,Christian Dvorak,Justin Barron,,Rasmus Andersson,Elias Lindholm,MacKenzie Weegar,Adam Ruzicka,Andrew Mangiapane,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,-52.0,38.0
1,00:56,19:04,right,hit,24,1,REG,-93.0,28.0,D,,,0.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,56,CGY,0.0,8477346.0,8483515.0,,5,5,5v5,8483515.0,8482087.0,8481540.0,8480192.0,8477989.0,,8478397.0,8477496.0,8477346.0,8480008.0,8478233.0,,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Johnathan Kovacevic,Christian Dvorak,,Rasmus Andersson,Elias Lindholm,MacKenzie Weegar,Adam Ruzicka,Andrew Mangiapane,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,-93.0,28.0
1,01:02,18:58,right,shot-on-goal,25,1,REG,-88.0,-26.0,D,wrist,8478470.0,1.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,62,CGY,0.0,8477346.0,,,5,5,5v5,8483515.0,8482087.0,8481540.0,8480192.0,8477989.0,,8478397.0,8477496.0,8477346.0,8480008.0,8478233.0,,Juraj Slafkovsky,Kaiden Guhle,Cole Caufield,Johnathan Kovacevic,Christian Dvorak,,Rasmus Andersson,Elias Lindholm,MacKenzie Weegar,Adam Ruzicka,Andrew Mangiapane,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,-88.0,-26.0
1,01:25,18:35,right,stoppage,31,1,REG,,,,,,1.0,0.0,offside,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,85,,,,,,5,5,5v5,8475848.0,8480184.0,8476871.0,8482964.0,8477497.0,,8477507.0,8482074.0,8480084.0,8481028.0,8475172.0,,Brendan Gallagher,Gustav Lindström,Tanner Pearson,Arber Xhekaj,Sean Monahan,,Nikita Zadorov,Connor Zary,Nick DeSimone,Martin Pospisil,Nazem Kadri,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,,
1,01:25,18:35,right,faceoff,33,1,REG,0.0,0.0,N,,,1.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,85,MTL,1.0,8477497.0,8475172.0,,5,5,5v5,8475848.0,8480184.0,8476871.0,8482964.0,8477497.0,,8477507.0,8482074.0,8480084.0,8481028.0,8475172.0,,Brendan Gallagher,Gustav Lindström,Tanner Pearson,Arber Xhekaj,Sean Monahan,,Nikita Zadorov,Connor Zary,Nick DeSimone,Martin Pospisil,Nazem Kadri,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,-0.0,0.0
1,01:44,18:16,right,blocked-shot,34,1,REG,81.0,-6.0,D,,,1.0,0.0,,,,,,0.0,0.0,2023020231,20232024,2023-11-14,2,Centre Bell,104,MTL,1.0,8475172.0,8480184.0,,5,5,5v5,8475848.0,8480184.0,8476871.0,8482964.0,8477497.0,,8477507.0,8482074.0,8480084.0,8481028.0,8475172.0,,Brendan Gallagher,Gustav Lindström,Tanner Pearson,Arber Xhekaj,Sean Monahan,,Nikita Zadorov,Connor Zary,Nick DeSimone,Martin Pospisil,Nazem Kadri,,8478470.0,8474593.0,Sam Montembeault,Jacob Markstrom,-81.0,6.0
