period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,reason,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,awayScore,homeScore,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,right,period-start,8,1,REG,,,,,,,0.0,0.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,0,,,,,,,5,5,5v5,8476981.0,8480192.0,8481593.0,8478133.0,8477497.0,,8476422.0,8473504.0,8477392.0,8480222.0,8475231.0,,Josh Anderson,Johnathan Kovacevic,Jayden Struble,Jake Evans,Sean Monahan,,Mike Reilly,Cal Clutterbuck,Hudson Fasching,Sebastian Aho,Casey Cizikas,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,00:00,20:00,right,faceoff,9,1,REG,0.0,0.0,N,,,,0.0,0.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,0,100.0,MTL,1.0,8478133.0,8475231.0,,5,5,5v5,8476981.0,8480192.0,8481593.0,8478133.0,8477497.0,,8476422.0,8473504.0,8477392.0,8480222.0,8475231.0,,Josh Anderson,Johnathan Kovacevic,Jayden Struble,Jake Evans,Sean Monahan,,Mike Reilly,Cal Clutterbuck,Hudson Fasching,Sebastian Aho,Casey Cizikas,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,00:21,19:39,right,missed-shot,10,1,REG,38.0,-36.0,O,wide-right,wrist,8478470.0,0.0,0.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,21,62.0,NYI,0.0,8475231.0,,,5,5,5v5,8476981.0,8480192.0,8481593.0,8478133.0,8477497.0,,8476422.0,8473504.0,8477392.0,8480222.0,8475231.0,,Josh Anderson,Johnathan Kovacevic,Jayden Struble,Jake Evans,Sean Monahan,,Mike Reilly,Cal Clutterbuck,Hudson Fasching,Sebastian Aho,Casey Cizikas,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,00:26,19:34,right,hit,11,1,REG,87.0,36.0,O,,,,0.0,0.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,26,13.0,NYI,0.0,8473504.0,8480192.0,,5,5,5v5,8476981.0,8480192.0,8481593.0,8478133.0,8477497.0,,8476422.0,8473504.0,8477392.0,8480222.0,8475231.0,,Josh Anderson,Johnathan Kovacevic,Jayden Struble,Jake Evans,Sean Monahan,,Mike Reilly,Cal Clutterbuck,Hudson Fasching,Sebastian Aho,Casey Cizikas,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,00:28,19:32,right,shot-on-goal,12,1,REG,18.0,36.0,N,,slap,8478470.0,1.0,0.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,28,82.0,NYI,0.0,8476422.0,,,5,5,5v5,8476981.0,8480192.0,8481593.0,8478133.0,8477497.0,,8476422.0,8473504.0,8477392.0,8480222.0,8475231.0,,Josh Anderson,Johnathan Kovacevic,Jayden Struble,Jake Evans,Sean Monahan,,Mike Reilly,Cal Clutterbuck,Hudson Fasching,Sebastian Aho,Casey Cizikas,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,00:58,19:02,right,shot-on-goal,21,1,REG,-85.0,15.0,O,,wrist,8473575.0,1.0,1.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,58,185.0,MTL,1.0,8480018.0,,,5,5,5v5,8476875.0,8480018.0,8483515.0,8481540.0,8475233.0,,8480865.0,8478445.0,8477500.0,8475314.0,8481014.0,,Mike Matheson,Nick Suzuki,Juraj Slafkovsky,Cole Caufield,David Savard,,Noah Dobson,Mathew Barzal,Bo Horvat,Anders Lee,Alexander Romanov,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,01:03,18:57,right,giveaway,22,1,REG,-38.0,-3.0,D,,,,1.0,1.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,63,138.0,NYI,0.0,8475314.0,,,5,5,5v5,8476875.0,8480018.0,8483515.0,8481540.0,8475233.0,,8480865.0,8478445.0,8477500.0,8475314.0,8481014.0,,Mike Matheson,Nick Suzuki,Juraj Slafkovsky,Cole Caufield,David Savard,,Noah Dobson,Mathew Barzal,Bo Horvat,Anders Lee,Alexander Romanov,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,01:08,18:52,right,shot-on-goal,23,1,REG,-90.0,-2.0,O,,wrap-around,8473575.0,1.0,2.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,68,190.0,MTL,1.0,8481540.0,,,5,5,5v5,8476875.0,8480018.0,8483515.0,8481540.0,8475233.0,,8480865.0,8478445.0,8477500.0,8475314.0,8481014.0,,Mike Matheson,Nick Suzuki,Juraj Slafkovsky,Cole Caufield,David Savard,,Noah Dobson,Mathew Barzal,Bo Horvat,Anders Lee,Alexander Romanov,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,01:41,18:19,right,hit,33,1,REG,99.0,-19.0,O,,,,1.0,2.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,101,1.0,NYI,0.0,8478115.0,8476875.0,,5,5,5v5,8476875.0,8475848.0,8482087.0,8477989.0,8476469.0,,8481541.0,8478115.0,8475151.0,8475754.0,8474145.0,,Mike Matheson,Brendan Gallagher,Kaiden Guhle,Christian Dvorak,Joel Armia,,Samuel Bolduc,Pierre Engvall,Kyle Palmieri,Brock Nelson,Robert Bortuzzo,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
1,01:56,18:04,right,blocked-shot,35,1,REG,-46.0,28.0,D,,,,1.0,2.0,,,,,0.0,0.0,2023020464,20232024,2023-12-16,2,Centre Bell,116,146.0,NYI,0.0,8482111.0,8475151.0,,5,5,5v5,8475848.0,8482087.0,8477989.0,8476469.0,8482111.0,,8481541.0,8478115.0,8475151.0,8475754.0,8474145.0,,Brendan Gallagher,Kaiden Guhle,Christian Dvorak,Joel Armia,Justin Barron,,Samuel Bolduc,Pierre Engvall,Kyle Palmieri,Brock Nelson,Robert Bortuzzo,,8478470.0,8473575.0,Sam Montembeault,Semyon Varlamov
