period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awaySOG,homeSOG,reason,awayScore,homeScore,secondaryReason,typeCode,descKey,duration,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,right,period-start,8,1,REG,,,,,,0.0,0.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,0,,,,,,,5,5,5v5,8476981.0,8482087.0,8482111.0,8478133.0,8477497.0,,8476457.0,8480009.0,8477416.0,8478407.0,8476826.0,,Josh Anderson,Kaiden Guhle,Justin Barron,Jake Evans,Sean Monahan,,Adam Larsson,Eeli Tolvanen,Oliver Bjorkstrand,Vince Dunn,Yanni Gourde,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,00:00,20:00,right,faceoff,9,1,REG,0.0,0.0,N,,,0.0,0.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,0,100.0,MTL,1.0,8478133.0,8476826.0,,5,5,5v5,8476981.0,8482087.0,8482111.0,8478133.0,8477497.0,,8476457.0,8480009.0,8477416.0,8478407.0,8476826.0,,Josh Anderson,Kaiden Guhle,Justin Barron,Jake Evans,Sean Monahan,,Adam Larsson,Eeli Tolvanen,Oliver Bjorkstrand,Vince Dunn,Yanni Gourde,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,00:17,19:43,right,shot-on-goal,10,1,REG,74.0,-21.0,O,snap,8478470.0,1.0,0.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,17,26.0,SEA,0.0,8476826.0,,,5,5,5v5,8476981.0,8482087.0,8482111.0,8478133.0,8477497.0,,8476457.0,8480009.0,8477416.0,8478407.0,8476826.0,,Josh Anderson,Kaiden Guhle,Justin Barron,Jake Evans,Sean Monahan,,Adam Larsson,Eeli Tolvanen,Oliver Bjorkstrand,Vince Dunn,Yanni Gourde,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,00:38,19:22,right,shot-on-goal,13,1,REG,48.0,-15.0,O,wrist,8478470.0,2.0,0.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,38,52.0,SEA,0.0,8477416.0,,,5,5,5v5,8476875.0,8476981.0,8482111.0,8478133.0,8477497.0,,8478840.0,8480009.0,8477416.0,8476467.0,8476826.0,,Mike Matheson,Josh Anderson,Justin Barron,Jake Evans,Sean Monahan,,Will Borgen,Eeli Tolvanen,Oliver Bjorkstrand,Jamie Oleksiak,Yanni Gourde,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,00:39,19:21,right,stoppage,14,1,REG,,,,,,2.0,0.0,goalie-stopped-after-sog,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,39,,,,,,,5,5,5v5,8476875.0,8475848.0,8480184.0,8477989.0,8476871.0,,8478840.0,8479293.0,8477955.0,8477505.0,8476467.0,,Mike Matheson,Brendan Gallagher,Gustav Lindström,Christian Dvorak,Tanner Pearson,,Will Borgen,Brandon Tanev,Jared McCann,Alex Wennberg,Jamie Oleksiak,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,00:39,19:21,right,faceoff,17,1,REG,69.0,-22.0,D,,,2.0,0.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,39,31.0,MTL,1.0,8477989.0,8477505.0,,5,5,5v5,8476875.0,8475848.0,8480184.0,8477989.0,8476871.0,,8478840.0,8479293.0,8477955.0,8477505.0,8476467.0,,Mike Matheson,Brendan Gallagher,Gustav Lindström,Christian Dvorak,Tanner Pearson,,Will Borgen,Brandon Tanev,Jared McCann,Alex Wennberg,Jamie Oleksiak,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,01:39,18:21,right,giveaway,27,1,REG,-79.0,-19.0,D,,,2.0,0.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,99,179.0,SEA,0.0,8475208.0,,,5,5,5v5,8480018.0,8483515.0,8481540.0,8480192.0,8481593.0,,8474602.0,8474586.0,8475208.0,8477505.0,8481789.0,,Nick Suzuki,Juraj Slafkovsky,Cole Caufield,Johnathan Kovacevic,Jayden Struble,,Justin Schultz,Jordan Eberle,Brian Dumoulin,Alex Wennberg,Tye Kartye,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,01:55,18:05,right,shot-on-goal,28,1,REG,-27.0,38.0,O,wrist,8475831.0,2.0,1.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,115,127.0,MTL,1.0,8483515.0,,,5,5,5v5,8480018.0,8483515.0,8481540.0,8480192.0,8481593.0,,8474602.0,8474586.0,8475208.0,8477505.0,8481789.0,,Nick Suzuki,Juraj Slafkovsky,Cole Caufield,Johnathan Kovacevic,Jayden Struble,,Justin Schultz,Jordan Eberle,Brian Dumoulin,Alex Wennberg,Tye Kartye,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,01:55,18:05,right,hit,29,1,REG,-34.0,40.0,O,,,2.0,1.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,115,134.0,MTL,1.0,8480192.0,8481789.0,,5,5,5v5,8480018.0,8483515.0,8481540.0,8480192.0,8481593.0,,8474602.0,8474586.0,8475208.0,8477505.0,8481789.0,,Nick Suzuki,Juraj Slafkovsky,Cole Caufield,Johnathan Kovacevic,Jayden Struble,,Justin Schultz,Jordan Eberle,Brian Dumoulin,Alex Wennberg,Tye Kartye,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
1,02:05,17:55,right,hit,31,1,REG,-71.0,41.0,O,,,2.0,1.0,,0.0,0.0,,,,,2023020376,20232024,2023-12-04,2,Centre Bell,125,171.0,MTL,1.0,8483515.0,8482665.0,,5,5,5v5,8480018.0,8483515.0,8481540.0,8480192.0,8481593.0,,8474602.0,8474586.0,8475208.0,8482665.0,8481789.0,,Nick Suzuki,Juraj Slafkovsky,Cole Caufield,Johnathan Kovacevic,Jayden Struble,,Justin Schultz,Jordan Eberle,Brian Dumoulin,Matty Beniers,Tye Kartye,,8478470.0,8475831.0,Sam Montembeault,Philipp Grubauer
