shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:37,5,1,0:38,1:15,37,38,75,2023020513,2023-12-22,8476473,D
2,1,00:33,5,1,4:31,5:04,33,271,304,2023020513,2023-12-22,8476473,D
3,1,00:18,5,1,6:17,6:35,18,377,395,2023020513,2023-12-22,8476473,D
4,1,00:37,5,1,8:13,8:50,37,493,530,2023020513,2023-12-22,8476473,D
5,1,00:14,5,1,9:28,9:42,14,568,582,2023020513,2023-12-22,8476473,D
6,1,00:04,5,1,11:42,11:46,4,702,706,2023020513,2023-12-22,8476473,D
7,1,00:25,5,1,12:22,12:47,25,742,767,2023020513,2023-12-22,8476473,D
8,1,01:12,5,1,13:28,14:40,72,808,880,2023020513,2023-12-22,8476473,D
9,1,00:24,5,1,15:47,16:11,24,947,971,2023020513,2023-12-22,8476473,D
10,1,01:02,5,1,17:48,18:50,62,1068,1130,2023020513,2023-12-22,8476473,D
11,2,01:02,5,1,0:00,1:02,62,1200,1262,2023020513,2023-12-22,8476473,D
12,2,00:33,5,1,3:43,4:16,33,1423,1456,2023020513,2023-12-22,8476473,D
13,2,00:57,5,1,6:08,7:05,57,1568,1625,2023020513,2023-12-22,8476473,D
14,2,01:00,5,1,8:06,9:06,60,1686,1746,2023020513,2023-12-22,8476473,D
15,2,01:12,5,1,11:09,12:21,72,1869,1941,2023020513,2023-12-22,8476473,D
16,2,01:02,5,1,12:25,13:27,62,1945,2007,2023020513,2023-12-22,8476473,D
17,2,00:52,5,1,15:02,15:54,52,2102,2154,2023020513,2023-12-22,8476473,D
18,2,00:30,5,1,17:03,17:33,30,2223,2253,2023020513,2023-12-22,8476473,D
19,2,00:48,5,1,19:12,20:00,48,2352,2400,2023020513,2023-12-22,8476473,D
20,3,00:41,5,1,0:20,1:01,41,2420,2461,2023020513,2023-12-22,8476473,D
21,3,01:10,5,1,2:53,4:03,70,2573,2643,2023020513,2023-12-22,8476473,D
22,3,01:43,5,1,6:30,8:13,103,2790,2893,2023020513,2023-12-22,8476473,D
23,3,00:38,5,1,8:51,9:29,38,2931,2969,2023020513,2023-12-22,8476473,D
24,3,00:23,5,1,12:16,12:39,23,3136,3159,2023020513,2023-12-22,8476473,D
25,3,00:07,5,1,13:58,14:05,7,3238,3245,2023020513,2023-12-22,8476473,D
26,3,00:35,5,1,15:03,15:38,35,3303,3338,2023020513,2023-12-22,8476473,D
27,3,00:48,5,1,18:44,19:32,48,3524,3572,2023020513,2023-12-22,8476473,D
1,1,00:48,8,1,1:36,2:24,48,96,144,2023020513,2023-12-22,8477987,C
2,1,00:58,8,1,4:05,5:03,58,245,303,2023020513,2023-12-22,8477987,C
3,1,01:38,8,1,7:50,9:28,98,470,568,2023020513,2023-12-22,8477987,C
4,1,00:48,8,1,11:59,12:47,48,719,767,2023020513,2023-12-22,8477987,C
5,1,00:27,8,1,14:40,15:07,27,880,907,2023020513,2023-12-22,8477987,C
6,1,00:52,8,1,16:04,16:56,52,964,1016,2023020513,2023-12-22,8477987,C
7,2,00:56,8,1,2:07,3:03,56,1327,1383,2023020513,2023-12-22,8477987,C
8,2,01:09,8,1,5:07,6:16,69,1507,1576,2023020513,2023-12-22,8477987,C
9,2,01:06,8,1,9:46,10:52,66,1786,1852,2023020513,2023-12-22,8477987,C
10,2,00:33,8,1,13:31,14:04,33,2011,2044,2023020513,2023-12-22,8477987,C
11,2,01:09,8,1,15:54,17:03,69,2154,2223,2023020513,2023-12-22,8477987,C
12,2,00:20,8,1,19:40,20:00,20,2380,2400,2023020513,2023-12-22,8477987,C
