shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:52,8,1,0:00,0:52,52,0,52,2023020231,2023-11-14,8476875,D
2,1,01:06,8,1,1:51,2:57,66,111,177,2023020231,2023-11-14,8476875,D
3,1,01:53,8,1,4:49,6:42,113,289,402,2023020231,2023-11-14,8476875,D
4,1,01:29,8,1,7:16,8:45,89,436,525,2023020231,2023-11-14,8476875,D
5,1,01:22,8,1,10:08,11:30,82,608,690,2023020231,2023-11-14,8476875,D
6,1,02:03,8,1,13:17,15:20,123,797,920,2023020231,2023-11-14,8476875,D
7,1,00:40,8,1,17:48,18:28,40,1068,1108,2023020231,2023-11-14,8476875,D
8,1,00:37,8,1,19:23,20:00,37,1163,1200,2023020231,2023-11-14,8476875,D
9,2,00:48,8,1,0:00,0:48,48,1200,1248,2023020231,2023-11-14,8476875,D
10,2,01:01,8,1,2:52,3:53,61,1372,1433,2023020231,2023-11-14,8476875,D
11,2,00:55,8,1,4:49,5:44,55,1489,1544,2023020231,2023-11-14,8476875,D
12,2,01:01,8,1,7:20,8:21,61,1640,1701,2023020231,2023-11-14,8476875,D
13,2,01:06,8,1,11:54,13:00,66,1914,1980,2023020231,2023-11-14,8476875,D
14,2,01:04,8,1,13:38,14:42,64,2018,2082,2023020231,2023-11-14,8476875,D
15,2,01:53,8,1,16:14,18:07,113,2174,2287,2023020231,2023-11-14,8476875,D
16,3,01:03,8,1,0:00,1:03,63,2400,2463,2023020231,2023-11-14,8476875,D
17,3,00:46,8,1,2:58,3:44,46,2578,2624,2023020231,2023-11-14,8476875,D
18,3,01:15,8,1,5:26,6:41,75,2726,2801,2023020231,2023-11-14,8476875,D
19,3,00:36,8,1,6:52,7:28,36,2812,2848,2023020231,2023-11-14,8476875,D
20,3,01:29,8,1,9:13,10:42,89,2953,3042,2023020231,2023-11-14,8476875,D
21,3,01:27,8,1,10:51,12:18,87,3051,3138,2023020231,2023-11-14,8476875,D
22,3,00:29,8,1,14:05,14:34,29,3245,3274,2023020231,2023-11-14,8476875,D
23,3,01:19,8,1,15:29,16:48,79,3329,3408,2023020231,2023-11-14,8476875,D
24,3,02:29,8,1,17:31,20:00,149,3451,3600,2023020231,2023-11-14,8476875,D
1,1,00:48,11,1,1:25,2:13,48,85,133,2023020231,2023-11-14,8475848,R
2,1,00:48,11,1,6:28,7:16,48,388,436,2023020231,2023-11-14,8475848,R
3,1,00:47,11,1,8:45,9:32,47,525,572,2023020231,2023-11-14,8475848,R
4,1,00:49,11,1,12:21,13:10,49,741,790,2023020231,2023-11-14,8475848,R
5,1,01:17,11,1,16:30,17:47,77,990,1067,2023020231,2023-11-14,8475848,R
6,2,01:10,11,1,0:00,1:10,70,1200,1270,2023020231,2023-11-14,8475848,R
7,2,00:23,11,1,2:52,3:15,23,1372,1395,2023020231,2023-11-14,8475848,R
8,2,01:05,11,1,8:21,9:26,65,1701,1766,2023020231,2023-11-14,8475848,R
