shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:44,6,1,0:00,0:44,44,0,44,2023020082,2023-10-23,8473446,D
2,1,00:43,6,1,2:56,3:39,43,176,219,2023020082,2023-10-23,8473446,D
3,1,00:19,6,1,6:03,6:22,19,363,382,2023020082,2023-10-23,8473446,D
4,1,00:42,6,1,7:13,7:55,42,433,475,2023020082,2023-10-23,8473446,D
5,1,00:36,6,1,8:51,9:27,36,531,567,2023020082,2023-10-23,8473446,D
6,1,00:48,6,1,12:23,13:11,48,743,791,2023020082,2023-10-23,8473446,D
7,1,01:34,6,1,14:51,16:25,94,891,985,2023020082,2023-10-23,8473446,D
8,2,00:25,6,1,0:00,0:25,25,1200,1225,2023020082,2023-10-23,8473446,D
9,2,00:46,6,1,3:24,4:10,46,1404,1450,2023020082,2023-10-23,8473446,D
10,2,00:29,6,1,5:13,5:42,29,1513,1542,2023020082,2023-10-23,8473446,D
11,2,00:38,6,1,8:56,9:34,38,1736,1774,2023020082,2023-10-23,8473446,D
12,2,03:01,6,1,13:35,16:36,181,2015,2196,2023020082,2023-10-23,8473446,D
13,3,00:21,6,1,2:18,2:39,21,2538,2559,2023020082,2023-10-23,8473446,D
14,3,00:53,6,1,3:13,4:06,53,2593,2646,2023020082,2023-10-23,8473446,D
15,3,00:53,6,1,12:37,13:30,53,3157,3210,2023020082,2023-10-23,8473446,D
16,3,01:05,6,1,14:57,16:02,65,3297,3362,2023020082,2023-10-23,8473446,D
1,1,00:36,10,1,1:32,2:08,36,92,128,2023020082,2023-10-23,8480035,D
2,1,01:43,10,1,3:38,5:21,103,218,321,2023020082,2023-10-23,8480035,D
3,1,00:30,10,1,7:55,8:25,30,475,505,2023020082,2023-10-23,8480035,D
4,1,00:49,10,1,9:27,10:16,49,567,616,2023020082,2023-10-23,8480035,D
5,1,00:53,10,1,11:29,12:22,53,689,742,2023020082,2023-10-23,8480035,D
6,1,00:28,10,1,14:23,14:51,28,863,891,2023020082,2023-10-23,8480035,D
7,1,00:28,10,1,19:32,20:00,28,1172,1200,2023020082,2023-10-23,8480035,D
8,2,01:07,10,1,1:29,2:36,67,1289,1356,2023020082,2023-10-23,8480035,D
9,2,00:30,10,1,4:11,4:41,30,1451,1481,2023020082,2023-10-23,8480035,D
10,2,01:18,10,1,7:37,8:55,78,1657,1735,2023020082,2023-10-23,8480035,D
11,2,00:56,10,1,10:43,11:39,56,1843,1899,2023020082,2023-10-23,8480035,D
12,2,01:01,10,1,18:03,19:04,61,2283,2344,2023020082,2023-10-23,8480035,D
13,3,00:39,10,1,1:10,1:49,39,2470,2509,2023020082,2023-10-23,8480035,D
14,3,00:52,10,1,2:39,3:31,52,2559,2611,2023020082,2023-10-23,8480035,D
15,3,00:56,10,1,5:23,6:19,56,2723,2779,2023020082,2023-10-23,8480035,D
16,3,00:46,10,1,7:04,7:50,46,2824,2870,2023020082,2023-10-23,8480035,D
17,3,00:40,10,1,9:14,9:54,40,2954,2994,2023020082,2023-10-23,8480035,D
18,3,00:46,10,1,14:11,14:57,46,3251,3297,2023020082,2023-10-23,8480035,D
19,3,01:00,10,1,16:53,17:53,60,3413,3473,2023020082,2023-10-23,8480035,D
1,1,00:48,12,1,0:44,1:32,48,44,92,2023020082,2023-10-23,8478413,L
2,1,01:25,12,1,3:39,5:04,85,219,304,2023020082,2023-10-23,8478413,L
3,1,00:56,12,1,7:55,8:51,56,475,531,2023020082,2023-10-23,8478413,L
4,1,01:02,12,1,11:28,12:30,62,688,750,2023020082,2023-10-23,8478413,L
5,1,00:21,12,1,14:51,15:12,21,891,912,2023020082,2023-10-23,8478413,L
