shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:42,3,1,0:53,1:35,42,53,95,2023020309,2023-11-25,8478911,D
2,1,00:33,3,1,3:02,3:35,33,182,215,2023020309,2023-11-25,8478911,D
3,1,00:29,3,1,5:35,6:04,29,335,364,2023020309,2023-11-25,8478911,D
4,1,00:47,3,1,8:37,9:24,47,517,564,2023020309,2023-11-25,8478911,D
5,1,00:45,3,1,10:43,11:28,45,643,688,2023020309,2023-11-25,8478911,D
6,1,00:39,3,1,14:25,15:04,39,865,904,2023020309,2023-11-25,8478911,D
7,1,01:12,3,1,15:28,16:40,72,928,1000,2023020309,2023-11-25,8478911,D
8,1,01:03,3,1,18:39,19:42,63,1119,1182,2023020309,2023-11-25,8478911,D
9,2,00:43,3,1,0:53,1:36,43,1253,1296,2023020309,2023-11-25,8478911,D
10,2,01:31,3,1,2:23,3:54,91,1343,1434,2023020309,2023-11-25,8478911,D
11,2,00:33,3,1,6:08,6:41,33,1568,1601,2023020309,2023-11-25,8478911,D
12,2,00:12,3,1,9:50,10:02,12,1790,1802,2023020309,2023-11-25,8478911,D
13,2,00:39,3,1,12:10,12:49,39,1930,1969,2023020309,2023-11-25,8478911,D
14,2,00:28,3,1,13:44,14:12,28,2024,2052,2023020309,2023-11-25,8478911,D
15,2,01:02,3,1,16:44,17:46,62,2204,2266,2023020309,2023-11-25,8478911,D
16,2,01:21,3,1,18:20,19:41,81,2300,2381,2023020309,2023-11-25,8478911,D
17,3,00:41,3,1,0:39,1:20,41,2439,2480,2023020309,2023-11-25,8478911,D
18,3,00:55,3,1,3:58,4:53,55,2638,2693,2023020309,2023-11-25,8478911,D
19,3,00:46,3,1,6:56,7:42,46,2816,2862,2023020309,2023-11-25,8478911,D
20,3,01:00,3,1,9:14,10:14,60,2954,3014,2023020309,2023-11-25,8478911,D
21,3,00:58,3,1,11:49,12:47,58,3109,3167,2023020309,2023-11-25,8478911,D
22,3,00:38,3,1,14:01,14:39,38,3241,3279,2023020309,2023-11-25,8478911,D
23,3,00:50,3,1,15:06,15:56,50,3306,3356,2023020309,2023-11-25,8478911,D
24,3,00:37,3,1,16:47,17:24,37,3407,3444,2023020309,2023-11-25,8478911,D
1,1,00:32,5,1,1:36,2:08,32,96,128,2023020309,2023-11-25,8477971,D
2,1,00:30,5,1,3:35,4:05,30,215,245,2023020309,2023-11-25,8477971,D
3,1,00:54,5,1,6:04,6:58,54,364,418,2023020309,2023-11-25,8477971,D
