shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:39,4,1,1:35,2:14,39,95,134,2023020337,2023-11-29,8482705,C
2,1,00:41,4,1,4:55,5:36,41,295,336,2023020337,2023-11-29,8482705,C
3,1,00:57,4,1,8:59,9:56,57,539,596,2023020337,2023-11-29,8482705,C
4,1,00:51,4,1,13:35,14:26,51,815,866,2023020337,2023-11-29,8482705,C
5,1,01:05,4,1,17:00,18:05,65,1020,1085,2023020337,2023-11-29,8482705,C
6,2,01:23,4,1,0:00,1:23,83,1200,1283,2023020337,2023-11-29,8482705,C
7,2,00:06,4,1,4:02,4:08,6,1442,1448,2023020337,2023-11-29,8482705,C
8,2,01:03,4,1,4:49,5:52,63,1489,1552,2023020337,2023-11-29,8482705,C
9,2,00:53,4,1,9:47,10:40,53,1787,1840,2023020337,2023-11-29,8482705,C
10,2,00:44,4,1,12:09,12:53,44,1929,1973,2023020337,2023-11-29,8482705,C
11,2,00:54,4,1,15:01,15:55,54,2101,2155,2023020337,2023-11-29,8482705,C
12,2,00:41,4,1,18:32,19:13,41,2312,2353,2023020337,2023-11-29,8482705,C
13,3,00:46,4,1,2:00,2:46,46,2520,2566,2023020337,2023-11-29,8482705,C
14,3,01:03,4,1,3:56,4:59,63,2636,2699,2023020337,2023-11-29,8482705,C
15,3,00:27,4,1,7:40,8:07,27,2860,2887,2023020337,2023-11-29,8482705,C
16,3,00:12,4,1,11:56,12:08,12,3116,3128,2023020337,2023-11-29,8482705,C
17,3,00:55,4,1,12:56,13:51,55,3176,3231,2023020337,2023-11-29,8482705,C
18,3,00:44,4,1,17:03,17:47,44,3423,3467,2023020337,2023-11-29,8482705,C
19,3,00:38,4,1,19:03,19:41,38,3543,3581,2023020337,2023-11-29,8482705,C
1,1,00:54,7,1,2:14,3:08,54,134,188,2023020337,2023-11-29,8476374,C
2,1,00:53,7,1,5:36,6:29,53,336,389,2023020337,2023-11-29,8476374,C
3,1,00:59,7,1,9:56,10:55,59,596,655,2023020337,2023-11-29,8476374,C
4,1,00:40,7,1,14:26,15:06,40,866,906,2023020337,2023-11-29,8476374,C
5,1,00:54,7,1,18:05,18:59,54,1085,1139,2023020337,2023-11-29,8476374,C
6,2,00:32,7,1,2:13,2:45,32,1333,1365,2023020337,2023-11-29,8476374,C
7,2,00:04,7,1,4:45,4:49,4,1485,1489,2023020337,2023-11-29,8476374,C
8,2,01:37,7,1,7:36,9:13,97,1656,1753,2023020337,2023-11-29,8476374,C
9,2,00:30,7,1,11:39,12:09,30,1899,1929,2023020337,2023-11-29,8476374,C
10,2,00:53,7,1,14:08,15:01,53,2048,2101,2023020337,2023-11-29,8476374,C
11,2,00:47,7,1,19:13,20:00,47,2353,2400,2023020337,2023-11-29,8476374,C
12,3,01:21,7,1,0:39,2:00,81,2439,2520,2023020337,2023-11-29,8476374,C
13,3,01:34,7,1,4:59,6:33,94,2699,2793,2023020337,2023-11-29,8476374,C
14,3,00:11,7,1,8:07,8:18,11,2887,2898,2023020337,2023-11-29,8476374,C
15,3,01:07,7,1,10:49,11:56,67,3049,3116,2023020337,2023-11-29,8476374,C
16,3,00:48,7,1,12:08,12:56,48,3128,3176,2023020337,2023-11-29,8476374,C
17,3,01:09,7,1,15:54,17:03,69,3354,3423,2023020337,2023-11-29,8476374,C
18,3,00:18,7,1,19:42,20:00,18,3582,3600,2023020337,2023-11-29,8476374,C
1,1,00:54,8,1,0:00,0:54,54,0,54,2023020337,2023-11-29,8478460,D
2,1,00:57,8,1,2:52,3:49,57,172,229,2023020337,2023-11-29,8478460,D
3,1,00:59,8,1,6:00,6:59,59,360,419,2023020337,2023-11-29,8478460,D
4,1,00:58,8,1,9:05,10:03,58,545,603,2023020337,2023-11-29,8478460,D
5,1,01:03,8,1,11:21,12:24,63,681,744,2023020337,2023-11-29,8478460,D
6,1,01:43,8,1,14:26,16:09,103,866,969,2023020337,2023-11-29,8478460,D
7,1,01:22,8,1,17:55,19:17,82,1075,1157,2023020337,2023-11-29,8478460,D
8,2,01:15,8,1,0:00,1:15,75,1200,1275,2023020337,2023-11-29,8478460,D
9,2,00:55,8,1,2:45,3:40,55,1365,1420,2023020337,2023-11-29,8478460,D
10,2,01:05,8,1,5:52,6:57,65,1552,1617,2023020337,2023-11-29,8478460,D
11,2,00:40,8,1,9:07,9:47,40,1747,1787,2023020337,2023-11-29,8478460,D
12,2,01:14,8,1,11:39,12:53,74,1899,1973,2023020337,2023-11-29,8478460,D
13,2,00:56,8,1,14:58,15:54,56,2098,2154,2023020337,2023-11-29,8478460,D
14,2,01:28,8,1,18:32,20:00,88,2312,2400,2023020337,2023-11-29,8478460,D
15,3,00:38,8,1,0:00,0:38,38,2400,2438,2023020337,2023-11-29,8478460,D
16,3,01:11,8,1,2:45,3:56,71,2565,2636,2023020337,2023-11-29,8478460,D
17,3,01:17,8,1,6:35,7:52,77,2795,2872,2023020337,2023-11-29,8478460,D
18,3,01:47,8,1,8:18,10:05,107,2898,3005,2023020337,2023-11-29,8478460,D
19,3,00:58,8,1,13:08,14:06,58,3188,3246,2023020337,2023-11-29,8478460,D
20,3,00:36,8,1,15:22,15:58,36,3322,3358,2023020337,2023-11-29,8478460,D
