shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:42,4,1,0:00,0:42,42,0,42,2023020164,2023-11-04,8475181,D
2,1,00:31,4,1,2:50,3:21,31,170,201,2023020164,2023-11-04,8475181,D
3,1,00:51,4,1,4:40,5:31,51,280,331,2023020164,2023-11-04,8475181,D
4,1,00:30,4,1,6:37,7:07,30,397,427,2023020164,2023-11-04,8475181,D
5,1,01:03,4,1,7:40,8:43,63,460,523,2023020164,2023-11-04,8475181,D
6,1,00:53,4,1,10:43,11:36,53,643,696,2023020164,2023-11-04,8475181,D
7,1,00:57,4,1,11:53,12:50,57,713,770,2023020164,2023-11-04,8475181,D
8,1,00:28,4,1,15:56,16:24,28,956,984,2023020164,2023-11-04,8475181,D
9,1,00:38,4,1,17:56,18:34,38,1076,1114,2023020164,2023-11-04,8475181,D
10,1,00:37,4,1,19:23,20:00,37,1163,1200,2023020164,2023-11-04,8475181,D
11,2,00:55,4,1,0:24,1:19,55,1224,1279,2023020164,2023-11-04,8475181,D
12,2,00:48,4,1,2:45,3:33,48,1365,1413,2023020164,2023-11-04,8475181,D
13,2,00:59,4,1,4:20,5:19,59,1460,1519,2023020164,2023-11-04,8475181,D
14,2,00:20,4,1,6:04,6:24,20,1564,1584,2023020164,2023-11-04,8475181,D
15,2,00:50,4,1,6:41,7:31,50,1601,1651,2023020164,2023-11-04,8475181,D
16,2,00:52,4,1,8:00,8:52,52,1680,1732,2023020164,2023-11-04,8475181,D
17,2,00:21,4,1,10:32,10:53,21,1832,1853,2023020164,2023-11-04,8475181,D
18,2,00:36,4,1,11:43,12:19,36,1903,1939,2023020164,2023-11-04,8475181,D
19,2,00:55,4,1,13:53,14:48,55,2033,2088,2023020164,2023-11-04,8475181,D
20,2,01:09,4,1,14:57,16:06,69,2097,2166,2023020164,2023-11-04,8475181,D
21,2,00:26,4,1,17:35,18:01,26,2255,2281,2023020164,2023-11-04,8475181,D
22,2,00:46,4,1,19:14,20:00,46,2354,2400,2023020164,2023-11-04,8475181,D
23,3,00:44,4,1,0:00,0:44,44,2400,2444,2023020164,2023-11-04,8475181,D
24,3,00:53,4,1,1:10,2:03,53,2470,2523,2023020164,2023-11-04,8475181,D
25,3,01:02,4,1,4:10,5:12,62,2650,2712,2023020164,2023-11-04,8475181,D
26,3,01:06,4,1,5:53,6:59,66,2753,2819,2023020164,2023-11-04,8475181,D
27,3,00:47,4,1,8:51,9:38,47,2931,2978,2023020164,2023-11-04,8475181,D
28,3,00:40,4,1,12:13,12:53,40,3133,3173,2023020164,2023-11-04,8475181,D
29,3,01:02,4,1,14:31,15:33,62,3271,3333,2023020164,2023-11-04,8475181,D
