shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:22,8,1,0:00,0:22,22,0,22,2023020181,2023-11-07,8476875,D
2,1,02:27,8,1,2:02,4:29,147,122,269,2023020181,2023-11-07,8476875,D
3,1,00:38,8,1,5:38,6:16,38,338,376,2023020181,2023-11-07,8476875,D
4,1,01:10,8,1,6:58,8:08,70,418,488,2023020181,2023-11-07,8476875,D
5,1,01:12,8,1,9:04,10:16,72,544,616,2023020181,2023-11-07,8476875,D
6,1,01:01,8,1,12:49,13:50,61,769,830,2023020181,2023-11-07,8476875,D
7,1,01:54,8,1,15:33,17:27,114,933,1047,2023020181,2023-11-07,8476875,D
8,1,00:23,8,1,19:37,20:00,23,1177,1200,2023020181,2023-11-07,8476875,D
9,2,01:34,8,1,2:06,3:40,94,1326,1420,2023020181,2023-11-07,8476875,D
10,2,00:56,8,1,4:30,5:26,56,1470,1526,2023020181,2023-11-07,8476875,D
11,2,01:40,8,1,8:32,10:12,100,1712,1812,2023020181,2023-11-07,8476875,D
12,2,01:06,8,1,14:21,15:27,66,2061,2127,2023020181,2023-11-07,8476875,D
13,2,01:39,8,1,17:41,19:20,99,2261,2360,2023020181,2023-11-07,8476875,D
14,3,01:25,8,1,0:40,2:05,85,2440,2525,2023020181,2023-11-07,8476875,D
15,3,01:28,8,1,3:46,5:14,88,2626,2714,2023020181,2023-11-07,8476875,D
16,3,00:41,8,1,6:09,6:50,41,2769,2810,2023020181,2023-11-07,8476875,D
17,3,01:12,8,1,8:37,9:49,72,2917,2989,2023020181,2023-11-07,8476875,D
18,3,00:56,8,1,10:37,11:33,56,3037,3093,2023020181,2023-11-07,8476875,D
19,3,01:28,8,1,12:24,13:52,88,3144,3232,2023020181,2023-11-07,8476875,D
20,3,00:27,8,1,14:46,15:13,27,3286,3313,2023020181,2023-11-07,8476875,D
21,3,00:30,8,1,16:21,16:51,30,3381,3411,2023020181,2023-11-07,8476875,D
1,1,00:22,11,1,0:00,0:22,22,0,22,2023020181,2023-11-07,8475848,R
2,1,00:44,11,1,4:31,5:15,44,271,315,2023020181,2023-11-07,8475848,R
3,1,00:56,11,1,9:09,10:05,56,549,605,2023020181,2023-11-07,8475848,R
4,1,00:31,11,1,13:19,13:50,31,799,830,2023020181,2023-11-07,8475848,R
5,1,00:22,11,1,16:05,16:27,22,965,987,2023020181,2023-11-07,8475848,R
6,1,01:10,11,1,17:27,18:37,70,1047,1117,2023020181,2023-11-07,8475848,R
7,2,01:26,11,1,0:40,2:06,86,1240,1326,2023020181,2023-11-07,8475848,R
8,2,00:57,11,1,5:15,6:12,57,1515,1572,2023020181,2023-11-07,8475848,R
9,2,00:59,11,1,10:02,11:01,59,1802,1861,2023020181,2023-11-07,8475848,R
10,2,01:11,11,1,16:12,17:23,71,2172,2243,2023020181,2023-11-07,8475848,R
11,2,00:29,11,1,19:31,20:00,29,2371,2400,2023020181,2023-11-07,8475848,R
12,3,00:54,11,1,3:07,4:01,54,2587,2641,2023020181,2023-11-07,8475848,R
13,3,00:55,11,1,5:14,6:09,55,2714,2769,2023020181,2023-11-07,8475848,R
14,3,00:41,11,1,10:00,10:41,41,3000,3041,2023020181,2023-11-07,8475848,R
15,3,00:47,11,1,13:21,14:08,47,3201,3248,2023020181,2023-11-07,8475848,R
16,3,00:35,11,1,17:40,18:15,35,3460,3495,2023020181,2023-11-07,8475848,R
1,1,01:03,14,1,0:22,1:25,63,22,85,2023020181,2023-11-07,8480018,C
2,1,01:38,14,1,2:53,4:31,98,173,271,2023020181,2023-11-07,8480018,C
3,1,01:05,14,1,7:03,8:08,65,423,488,2023020181,2023-11-07,8480018,C
4,1,00:05,14,1,9:04,9:09,5,544,549,2023020181,2023-11-07,8480018,C
5,1,01:00,14,1,10:18,11:18,60,618,678,2023020181,2023-11-07,8480018,C
6,1,00:41,14,1,13:50,14:31,41,830,871,2023020181,2023-11-07,8480018,C
7,1,01:00,14,1,16:27,17:27,60,987,1047,2023020181,2023-11-07,8480018,C
8,2,01:08,14,1,1:56,3:04,68,1316,1384,2023020181,2023-11-07,8480018,C
9,2,00:47,14,1,4:30,5:17,47,1470,1517,2023020181,2023-11-07,8480018,C
10,2,00:59,14,1,6:12,7:11,59,1572,1631,2023020181,2023-11-07,8480018,C
11,2,01:17,14,1,8:45,10:02,77,1725,1802,2023020181,2023-11-07,8480018,C
12,2,01:13,14,1,12:09,13:22,73,1929,2002,2023020181,2023-11-07,8480018,C
13,2,01:09,14,1,15:10,16:19,69,2110,2179,2023020181,2023-11-07,8480018,C
14,2,01:19,14,1,18:12,19:31,79,2292,2371,2023020181,2023-11-07,8480018,C
15,3,00:40,14,1,0:00,0:40,40,2400,2440,2023020181,2023-11-07,8480018,C
16,3,01:07,14,1,2:06,3:13,67,2526,2593,2023020181,2023-11-07,8480018,C
17,3,01:14,14,1,4:00,5:14,74,2640,2714,2023020181,2023-11-07,8480018,C
18,3,00:41,14,1,6:09,6:50,41,2769,2810,2023020181,2023-11-07,8480018,C
19,3,00:35,14,1,8:46,9:21,35,2926,2961,2023020181,2023-11-07,8480018,C
20,3,00:06,14,1,10:35,10:41,6,3035,3041,2023020181,2023-11-07,8480018,C
21,3,00:44,14,1,11:45,12:29,44,3105,3149,2023020181,2023-11-07,8480018,C
22,3,00:38,14,1,14:08,14:46,38,3248,3286,2023020181,2023-11-07,8480018,C
23,3,00:54,14,1,15:13,16:07,54,3313,3367,2023020181,2023-11-07,8480018,C
24,3,00:49,14,1,16:51,17:40,49,3411,3460,2023020181,2023-11-07,8480018,C
1,1,00:54,15,1,1:21,2:15,54,81,135,2023020181,2023-11-07,8481618,C
2,1,00:46,15,1,4:29,5:15,46,269,315,2023020181,2023-11-07,8481618,C
3,1,02:11,15,1,5:57,8:08,131,357,488,2023020181,2023-11-07,8481618,C
4,1,00:14,15,1,10:04,10:18,14,604,618,2023020181,2023-11-07,8481618,C
