shift_number,period,duration,sweaterNumber,is_home,startTime,endTime,duration_s,startTime_s,endTime_s,gameId,gameDate,playerId,positionCode
1,1,00:39,2,1,1:28,2:07,39,88,127,2023020195,2023-11-09,8476874,D
2,1,01:03,2,1,5:03,6:06,63,303,366,2023020195,2023-11-09,8476874,D
3,1,01:12,2,1,9:17,10:29,72,557,629,2023020195,2023-11-09,8476874,D
4,1,00:55,2,1,12:38,13:33,55,758,813,2023020195,2023-11-09,8476874,D
5,1,01:03,2,1,17:15,18:18,63,1035,1098,2023020195,2023-11-09,8476874,D
6,1,00:24,2,1,19:36,20:00,24,1176,1200,2023020195,2023-11-09,8476874,D
7,2,00:12,2,1,1:32,1:44,12,1292,1304,2023020195,2023-11-09,8476874,D
8,2,00:09,2,1,2:53,3:02,9,1373,1382,2023020195,2023-11-09,8476874,D
9,2,01:21,2,1,8:47,10:08,81,1727,1808,2023020195,2023-11-09,8476874,D
10,2,02:13,2,1,12:05,14:18,133,1925,2058,2023020195,2023-11-09,8476874,D
11,2,01:09,2,1,16:44,17:53,69,2204,2273,2023020195,2023-11-09,8476874,D
12,3,00:48,2,1,0:52,1:40,48,2452,2500,2023020195,2023-11-09,8476874,D
13,3,00:57,2,1,3:33,4:30,57,2613,2670,2023020195,2023-11-09,8476874,D
14,3,00:47,2,1,4:54,5:41,47,2694,2741,2023020195,2023-11-09,8476874,D
15,3,01:15,2,1,6:57,8:12,75,2817,2892,2023020195,2023-11-09,8476874,D
16,3,00:48,2,1,11:44,12:32,48,3104,3152,2023020195,2023-11-09,8476874,D
17,3,00:29,2,1,14:05,14:34,29,3245,3274,2023020195,2023-11-09,8476874,D
18,3,00:42,2,1,15:17,15:59,42,3317,3359,2023020195,2023-11-09,8476874,D
1,1,00:35,3,1,1:32,2:07,35,92,127,2023020195,2023-11-09,8475718,D
2,1,00:50,3,1,5:09,5:59,50,309,359,2023020195,2023-11-09,8475718,D
3,1,01:07,3,1,8:10,9:17,67,490,557,2023020195,2023-11-09,8475718,D
